Row0,106,201,301,402,502,Danilo Rojas Betancourth,802,7,Danilo Rojas Betancourth
Row1,106,201,301,402,502,Danilo Rojas Betancourth,802,4,Danilo Rojas Betancourth
Row2,106,201,301,402,502,Danilo Rojas Betancourth,802,5,Danilo Rojas Betancourth
Row3,106,201,301,402,502,Danilo Rojas Betancourth,802,6,Danilo Rojas Betancourth
Row6,106,201,301,402,502,Danilo Rojas Betancourth,802,5,Danilo Rojas Betancourth
Row7,106,201,301,402,502,Danilo Rojas Betancourth,802,11,Danilo Rojas Betancourth
Row8,106,201,301,402,502,Danilo Rojas Betancourth,802,1,Danilo Rojas Betancourth
Row9,106,201,301,402,502,Danilo Rojas Betancourth,802,4,Danilo Rojas Betancourth
Row10,106,201,301,402,502,Danilo Rojas Betancourth,802,5,Danilo Rojas Betancourth
Row11,106,201,301,402,502,Danilo Rojas Betancourth,802,4,Danilo Rojas Betancourth
Row12,106,209,302,402,502,Danilo Rojas Betancourth,802,5,Danilo Rojas Betancourth
Row14,106,205,302,402,502,Danilo Rojas Betancourth,802,4,Danilo Rojas Betancourth
Row15,106,205,306,402,502,Danilo Rojas Betancourth,802,7,Javier Tamayo Jaramillo
Row16,106,204,306,402,502,Danilo Rojas Betancourth,802,5,Javier Tamayo Jaramillo
Row17,106,209,302,402,502,Danilo Rojas Betancourth,802,4,Danilo Rojas Betancourth
Row19,106,205,306,402,502,Danilo Rojas Betancourth,802,1,Javier Tamayo Jaramillo
Row20,106,209,302,402,502,Danilo Rojas Betancourth,802,4,Danilo Rojas Betancourth
Row21,106,209,302,402,502,Danilo Rojas Betancourth,802,2,Danilo Rojas Betancourth
Row22,106,205,301,402,502,Danilo Rojas Betancourth,802,5,Danilo Rojas Betancourth
Row23,106,205,306,402,502,Danilo Rojas Betancourth,802,5,Javier Tamayo Jaramillo
Row25,106,201,301,402,502,Danilo Rojas Betancourth,802,4,Danilo Rojas Betancourth
Row27,106,201,301,402,502,Danilo Rojas Betancourth,802,3,Danilo Rojas Betancourth
Row28,101,201,301,402,502,Danilo Rojas Betancourth,802,1,Danilo Rojas Betancourth
Row30,101,201,301,401,501,Danilo Rojas Betancourth,802,7,Danilo Rojas Betancourth
Row32,101,201,301,401,501,Danilo Rojas Betancourth,802,1,Danilo Rojas Betancourth
Row33,103,205,306,402,502,Danilo Rojas Betancourth,802,6,Javier Tamayo Jaramillo
Row34,103,204,306,402,503,Diego Lopez medina,802,8,Javier Tamayo Jaramillo
Row38,103,205,306,402,503,Javier Tamayo Jaramillo,801,5,Javier Tamayo Jaramillo
Row39,101,201,306,402,503,Javier Tamayo Jaramillo,801,4,Javier Tamayo Jaramillo
Row41,103,204,306,402,503,Javier Tamayo Jaramillo,801,6,Javier Tamayo Jaramillo
Row43,103,204,306,402,503,Javier Tamayo Jaramillo,801,6,Javier Tamayo Jaramillo
Row44,101,201,306,402,503,Javier Tamayo Jaramillo,801,4,Javier Tamayo Jaramillo
Row47,101,201,306,402,503,Javier Tamayo Jaramillo,801,6,Javier Tamayo Jaramillo
Row48,101,201,306,402,503,Javier Tamayo Jaramillo,801,4,Javier Tamayo Jaramillo
Row49,101,201,306,402,503,Javier Tamayo Jaramillo,801,5,Javier Tamayo Jaramillo
Row50,101,201,306,402,503,Javier Tamayo Jaramillo,801,4,Javier Tamayo Jaramillo
Row51,101,201,306,402,503,Javier Tamayo Jaramillo,801,5,Javier Tamayo Jaramillo
Row52,101,201,306,402,503,Javier Tamayo Jaramillo,801,5,Javier Tamayo Jaramillo
Row53,101,201,306,402,503,Javier Tamayo Jaramillo,801,4,Javier Tamayo Jaramillo
Row55,103,204,306,402,503,Javier Tamayo Jaramillo,801,4,Javier Tamayo Jaramillo
Row56,103,201,306,402,503,Javier Tamayo Jaramillo,807,8,Javier Tamayo Jaramillo
Row57,103,201,306,402,503,Javier Tamayo Jaramillo,801,4,Javier Tamayo Jaramillo
Row58,103,206,306,402,503,Javier Tamayo Jaramillo,801,3,Javier Tamayo Jaramillo
Row60,101,201,306,402,503,Javier Tamayo Jaramillo,801,5,Javier Tamayo Jaramillo
Row63,103,208,306,402,503,Javier Tamayo Jaramillo,801,8,Javier Tamayo Jaramillo
Row64,101,201,301,401,501,Javier Tamayo Jaramillo,807,6,Danilo Rojas Betancourth
Row65,101,201,301,401,501,Javier Tamayo Jaramillo,801,4,Danilo Rojas Betancourth
Row66,103,204,306,402,503,Javier Tamayo Jaramillo,801,9,Javier Tamayo Jaramillo
Row67,103,210,301,402,503,Javier Tamayo Jaramillo,806,6,LIDA DE LOS ANGELES PRIETO PINTO
Row68,103,201,301,402,505,LIDA DE LOS ANGELES PRIETO PINTO,806,2,LIDA DE LOS ANGELES PRIETO PINTO
Row69,103,201,301,402,505,LIDA DE LOS ANGELES PRIETO PINTO,806,7,LIDA DE LOS ANGELES PRIETO PINTO
